A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,latitude,longitude,Created Date Filter,Resolution Time
A6-BLR,AUH,2024-11-27 19:49:49.457,A6-BLR002344-003,Galley G4A-1C,LOTS OF WATER CAME FROM BEHIND THE CARTS ON GROUND IN CGK AND ON LANDING,"PHYSICALLY CHECKED AND REMOVED ICE FORMATION ON GALLEY CHILLER FLAPS IAW AMM DMC-B787-A-25-33-01-00A-258A-A REV.006 DTD 31 OCT 2024
NO WATER LEAKS OBSERVED",80439713,Behind carts,Ice on chiller flaps,2024-11-27 22:07:59.609,24.426389,54.651389,2024-11-27,2.3
A6-BLR,AUH,2024-11-27 14:23:46.504,A6-BLR002344-002,Galley G1F-1C,WATER LEAKING FROM BELOW DURING TAKE OFF AND LANDING,CLEANED AND REMOVED DEBRIS OF ICE DRAWER STRAINER IAW AMM DMC-B787-A-38-31-25-00A-258A-A REV.019 DTD 31 OCT 2024 DRAINING OPS NOW SATIS. NO WATER LEAKS OBSERVED,80439712,Ice Drawer,Ice Drawer drain clogged,2024-11-27 22:08:22.153,24.426389,54.651389,2024-11-27,7.74
A6-BMB,AUH,2024-11-23 08:40:36.272,A6-BMB002434-002,Galley G1F-1C,EXCESSIVE WATER LEAKAGE FROM UNDER THE EQUIPMENTS 1F1C09-11 DURING TAKE OFF ,"BEVERAGE MAKER POSITION 1F1C09 REMOVED AND INSTALLED BACK, TEST PERFORMED SATISFACTORY IAW AMM DMC-B787-A- 25-32-00-10A-520A/720A-A REV 154, REV DATE 31 AUG 2024.",80435966,Behind hot beverage machine,Bev maker reinstalled,2024-11-23 09:14:47.311,24.426389,54.651389,2024-11-23,0.57
A6-BNB,KUL,2024-11-13 11:47:35.385,A6-BNB002681-001,Galley G1A-1C,LITTLE WATER LEAK FROM BEHIND THE CARTS DURING THE FLIGHT,AREA CLEANED AND INSPECTED. NO LEAKS OBSERVED. SUSPECT CONDENSATION. TO MONITOR FURTHER,80427709,Behind carts,Condensation,2024-11-13 12:13:34.428,2.745578,101.708944,2024-11-13,0.43
A6-BLY,AUH,2024-11-08 14:50:32.775,A6-BLY002385-002,Galley G1F-1C,WATER LEAK FROM UNDER TRASH COMPACTOR,REF TO WO # 80418357 FOR THE ACTION,80423598,Behind carts,Condensation,2024-11-09 16:26:24.450,24.426389,54.651389,2024-11-08,25.6
A6-BLL,AUH,2024-11-01 18:38:48.108,A6-BLL002252-001,Galley G1F-1C,"OVERFLOW OF WATER FROM R1 GALLEY DURING TAKE OFF.
",CARRIED OUT GALLEY R1 LEAK TEST IAW AM. DMC-B787-A-25-31-00-01A-364A-A REV153 30SEP24. SATIS NO LEAK FOUNF,80418278,Behind carts,Galley leak test,2024-11-01 23:28:29.221,24.426389,54.651389,2024-11-01,4.83
A6-BLA,SVO,2024-11-01 04:50:27.762,A6-BLA002028-004,Galley G1F-1C,"ICE DRAWER IS BLOCKDD AND TGE WATER IS NIT DRAINING, FLOODING AT TAKE OFF",SINK BLOCKAGE CLEANED. GWIV TEST PERFORMED IAW AMM DMC-B787-A-38-31-11-07A-720A-A REV153/30SEP2024. OPS CHECK OK,80417699,Ice Drawer,Ice Drawer drain clogged,2024-11-01 06:59:31.178,55.9726,37.4146,2024-11-01,2.15
A6-BLT,AUH,2024-10-28 18:39:54.990,A6-BLT002219-004,Galley G4A-1C,"WATER IS LEAKING FROM BEHIND CARTS IN R4 GALLEY. 
FLOOR IS WET B","R4 GALLEY INSPECTION PERFORMED NIL WATER LEAK OBSERVED , FOUND WATER BOTTLE INSIDE FOOD CARD LECKING, CLEANING PERFORMED AERA MONITORED NIL FOUND ",80415000,Behind carts,Condensation,2024-10-28 20:13:03.646,24.426389,54.651389,2024-10-28,1.55
A6-BLA,AUH,2024-10-25 05:22:25.865,A6-BLA002015-001,Galley G1F-1C,WATER SPILLAGE AT R1 GALLEY FROM ICE DRAWER COMPARTMENT (1F1C12).FLOOR GOT WET,"R1 GALLEY ICE BOX DRAWER DRAIN FOUND BLOCKED ,SAME CLEANED ,NIL WATER LEAKAGE.",80412491,Ice Drawer,Ice Drawer drain clogged,2024-10-25 21:21:40.263,24.426389,54.651389,2024-10-25,15.99
A6-BLJ,HYD,2024-10-20 14:33:02.796,A6-BLJ002168-001,Galley G4A-1C,WATER COMING FROM CHILLERS DURING TAKE OF AND LANDING,UPON INSPECTION FOUND ICE FORMED ON FWD GALLEY REFRIGERATION FLAP ASSY DUE TO CONDENSATION SAME CLEANED NO LEAKS,80408423,Behind carts,Ice on chiller flaps,2024-10-21 17:02:09.953,17.2311,78.4291,2024-10-20,26.49
A6-BMA,AMS,2024-10-20 13:48:58.292,A6-BMA002389-001,Galley G1F-1C,1F1C04 AND 1F1C09 WATER GUSHING FROM THIS CONTAINERS FOR TAKEOFF R1 GALLEY,"WATER WIPED AND COMPARTMENT DRIED
NO LEAKS OBSERVED WATER SEEMS TO BE RESULT OF CONDENSATION
REF AMM 25-31-00-02A-311A-A REV 153 30SEP24
PLS OBSERVE",80408580,Behind carts,Condensation,2024-10-20 19:16:29.269,52.308613,4.763889,2024-10-20,5.46
A6-BLH,BRU,2024-10-15 11:36:45.842,A6-BLH002304-004,Galley G2A-1C,2A1C14/ 2A1C15 HEAVY WATER LEAKAGE FROM BEHIMD THE CARTS,"AREA INSPECTED, NO LEAK FOUND, CONDENSATION SUSPECTED. OPS CHK IAW AMM  DMC-B787-A-25-32-00-28A-320A-A REV 152 DATE 31 AUG 2024.",80404490,Behind carts,Condensation,2024-10-15 12:51:08.984,50.9019,4.4844,2024-10-15,1.24
A6-BLN,MXP,2024-10-13 16:15:23.730,A6-BLN002254-001,Galley G2A-1C,"WATER LEAK IN R2 GALLEY FOR TAKEOFF AND LANDING.
WATER FLOWS FROM BEHIND THE OVENS AND FRIDGES BOTH SIDE OF THE GALLEY.","LEAK TEST PERFORMED IAW AMM B787-A-25-31-00-01A-364A-A REV 050 / 31 OCT 2022.  
AREA CLEANED FROM RESIDUAL WATER. NO LEAKS OBSERVED.",80403080,Behind fridge,Nil Leak,2024-10-13 19:11:48.986,45.63,8.7281,2024-10-13,2.94
