A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,Resolution Time,latitude,longitude
A6-BLQ,AUH,2024-03-19 12:14:20.252,A6-BLQ001805-001,Galley G2F-1C,"ON TAKE OFF WATER LEAKED FROM FLOORING AREA OF THE GALLEY TO MIDDLE ROW 15DEG YC
CARPET GOT SOACKED WITH WATER, WET AREA GOT LARGER DURING FLIGHT.
AFTER 2HRS WATER SHUT OFF VALVE WAS TURNED OFF.",FOUND R2 GALLEY REFRIGERATION OUTLET VENTS FLAPPER STUCK WITH ICE AND EXTRA ICE FORMATIONS AND FILLED WITH WATER NOTICED. IN R2 GALLEY AFT SIDE  QTY 3 FLAPPERS. SAME REMOVED CLEANED AND INSTALLED BACK IAW CMM 25-30-108 REV . NO OTHER WATER LEAKS NOTED FROM R2 GALLEY POTABLE WATER LINES AND SINK DRAIN LINES. ,80471789.0,Behind carts,Chiller Valve stuck open,Closed,,24.4409181,54.6377049
A6-BLR,MAD,2024-03-11 05:15:47.264,A6-BLR001815-002,Galley G4A-1R,WATER FLOODED IN THD GALLEY DURING TAXIING ,INSPECTION PERFORMED AND NOT FOUND ANY EVIDENCE OF WATER LEAKS,80471789.0,Behind carts,Nil Leak,Closed,,40.4952269,-3.5733733
A6-BNB,MLE,2024-03-09 23:38:17.109,A6-BNB002075-002,Galley G4A-1R,R4 GALLEY HAD WATER LEAKAGE DURING DESCENT.,R4 GALLEY EQUIPMENT TESTED AND NIL LEAKS FOUND AMM 25-32-00 REV 124  . A LARGE CHUNK OF ICE FOUND AND REMOVED FROM BEHIND TROLLEYS AND AREA CLEANED,80471789.0,Behind carts,Ice on chiller flaps,Closed,,4.1961894,73.5301042
A6-BNF,AUH,2024-03-03 20:39:44.453,A6-BNF000021-002,Galley G4A-1C,WATER LEAKAGE FROM THESE COMPARTMENTS FOR TAKE OFF AND LANDING IN LARGE QUANTITY,"AFT GALLEY AREA INSPECTED NIL WATER LEAK OBSERVED, FOUND WATER FROM FOOD CART LEAK , AREA CLEANED NIL FINDING ",80471789.0,Behind carts,Condensation,Closed,,24.4409181,54.6377049
A6-BMA,AUH,2024-02-29 23:29:37.290,A6-BMA001916-003,Galley G4A-1R,FOR TAKE OFF AND LANDING THERE IS WATER COMING OUT FROM CART STOWAGE 4A1R14,"AFT GALLEY STOWAGE 4A1R14 AREA INSPECTED NIL LEAK FOUND, HOWEVER FOUND WATER CONDENSATION FROM FOOD CART, AREA CLEANED ALL NORMAL ",80471789.0,Behind carts,Condensation,Closed,,24.4409181,54.6377049
A6-BLR,JFK,2024-02-27 20:34:14.261,A6-BLR001792-001,Galley G4A-1C,"G4A1C GA,LEY WATER LEAKAGE FFOM BEHIND THE CARTS AT TOP OF DESCENT",RESET PERFORMED. CHECK OK,80471789.0,Behind carts,Galley leak test,Closed,,40.6429479,-73.7793734
A6-BNF,MXP,2024-02-27 06:00:15.121,A6-BNF000008-002,Galley G4A-1R,AFTER LANDING WATER COMING UNDER CARTS FROM CHILLERS IN R4,PERFORMED INSPECTION UNDER CARTS FROM CHILLER R4 IAW STANDARD PRACTICES SATISFY NO WATER LEAKS DETECTED,80471789.0,Behind carts,Nil Leak,Closed,,45.6296273,8.7235475
A6-BNF,AUH,2024-02-26 19:07:56.042,A6-BNF000007-001,Galley G2F-1C,WATER DROPLETS FALLING  FROM BEHIND THE CONTAINER ,NIL WATER DROPLET OBSERVED ON GROUND. SUSPECTED CONDENSATION DURING FLIGHT. ,80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLH,KUL,2024-02-19 11:01:26.426,A6-BLH001798-004,Galley G4A-1R,LOTS OF WATER LEAKING AT FLOOR LEVEL  BUT DONT KNOW WHERE EXACTLY,AREA CLEANED. SUSPECT FROM CHILLER CONDENSATION,80471789.0,Behind carts,Condensation,2024-02-19 12:05:28.713000,1.1,2.7431004,101.7063146
A6-BNB,FRA,2024-02-17 17:28:47.259,A6-BNB002019-002,Galley G1A-1C,"WATER RUNS IN THE GALLEY FLOOR DURING LANDING AND TAKE OFF. 
GWIF WAS USED BUT STILLTHE SAME.","RESET CARRIED OUT AND CHECKED, OPS NORMAL ON GROUND",80471789.0,Behind carts,Galley leak test,2024-02-17 18:44:18.135000,1.3,50.0244126,8.5552003
A6-BLR,MLE,2024-02-15 23:45:40.148,A6-BLR001765-002,Galley G4A-1C,4A1C15 WATER LEAKING.,NO LEAK FOUND. WATER FORMED DUE TO ICE FORMATION IN CHILLER,80471789.0,Behind carts,Ice on chiller flaps,2024-02-16 02:38:09.797000,2.9,4.1961894,73.5301042
A6-BNC,AUH,2024-02-03 18:39:59.572,A6-BNC001965-003,Galley G1F-1C,WATER CAME OUT OF THE DRAWER DURING TAKE OFF. ,CLEANED ICE RESIDUAL NO LEAKS CHECKED,80471789.0,Ice Drawer,Ice Drawer drain clogged,2024-02-03 21:35:27.149000,2.9,24.4409181,54.6377049
A6-BLD,AUH,2024-01-28 15:14:58.162,A6-BLD001604-003,Galley G1F-1C,WATER RUNNING CONTINUOUSLY FROM UNDER,R1 ICE DRAWER DRAIN FOUND CLOGGED .SAME CLEANED. NOW SATIS.NIL LEAKS.,80471789.0,Ice Drawer,Ice Drawer drain clogged,2024-01-28 16:21:02.820000,1.1,24.4409181,54.6377049
A6-BLK,MNL,2024-01-27 12:24:01.424,A6-BLK001725-001,Galley G4A-1C,WATER LEAKAGE FROM THE GALLEY,"CLEANED AND REMOVED WATER RESIDUAL ON R4 CENTER GALLEY. CHECK ON GROUND, NIL LEAK FOUND. ",80471789.0,Behind carts,Nil Leak,2024-01-27 14:26:11.351000,2.0,14.5123016,121.0218861
A6-BLZ,AMS,2024-01-21 18:01:43.923,A6-BLZ001942-002,Galley G1F-1C,WATER POURING OFF DURING TAKE OFF FROM ICE DRAWER R1 GALLEY,"CLEANED DRAWER ACC DMC38-31-25-00A RE87
",80471789.0,Ice Drawer,Ice Drawer cleaned,2024-01-21 19:28:11.109000,1.4,52.3269801,4.7415053
A6-BLR,JNB,2023-12-31 06:08:11.787,A6-BLR001669-002,Galley G4A-1C,HEAVY FLOW OF WATER COMING FROM CART STOWAGE AT G4A-1C-4A1C20 ON TOP OF DESCENT,"AREA CHECKED , FOUND WATER CAME FROM GCU CONDENSATION , AREA CLEANED AND DRIED OUT .",80471789.0,Behind carts,Condensation,2023-12-31 07:14:59.344000,1.1,-26.1342373,28.2313764
A6-BLY,NRT,2023-12-31 00:37:39.321,A6-BLY001720-001,Galley G2F-1C,WATER FLOW WENT OFF AFTER TAKE OFF IN R2 GALLEY,R2 GALLEY AREA INSPECTED.NIL WATER LEAK FOUND.,80471789.0,Behind carts,Nil Leak,2023-12-31 03:48:33.649000,3.2,35.7758714,140.3933101
A6-BLP,AUH,2023-12-30 17:59:14.437,A6-BLP001597-003,Galley G2F-1C,2F1C13 STOWAGE ONCE CART IS OUT WATER SPRINCLES WITH AIR FROM THE CHILLER,"2F1C13 GALLEY FOUND WITH WATER CONDINSATION, SAME CLEANED WITH NO SIGNS OF WATER LEAK IAW AMM 25-31-00-01A-364A-A REV 50/ OCT 2022",80471789.0,Behind carts,Condensation,2023-12-30 20:40:21.417000,2.7,24.4409181,54.6377049
A6-BLE,GVA,2023-12-28 06:09:03.163,A6-BLE001548-006,Galley G2A-1C,ACCUMULATES WATER AS THE ICE DRAWER SINK IS BLOCKED,CARRIED OUT REWORK OF THE STRAINER I.A.W CMM 25-37-56 REV 07 DATED 03 JUL 2023.,80471789.0,Ice Drawer,Ice Drawer drain clogged,2024-04-17 12:40:29.029000,2670.5,46.2378164,6.1081212
A6-BMB,MNL,2023-12-24 07:01:30.613,A6-BMB001742-001,Galley G1F-1C,RECURRING WATER LEAKAGE IN R1 GALLEY UNDER ICE DRAWER LEAKING INTO THE CARTS,CLEANED R1 GALLEY.NIL LEAK FOUND.NORMAL,80471789.0,Ice Drawer,Nil Leak,2023-12-24 14:13:57.397000,7.2,14.5123016,121.0218861
A6-BMB,AUH,2023-12-15 15:35:37.565,A6-BMB001721-004,Galley G1F-1C,ESTIMATE 1L WATER LEAKED FROM ICE DRAWER TO GALLEY FLOOR DURING TAKE OFF,FOUND THE DRAIN BLOCKED SAME CLEANED IAW AMM 38-31-25-00A-258A REV 143/30NOV23,80471789.0,Ice Drawer,Ice Drawer drain clogged,2023-12-15 16:46:44.951000,1.2,24.4409181,54.6377049
A6-BMA,MAN,2023-12-11 06:52:02.369,A6-BMA001739-001,Galley G4A-1C,"MAJOR WATER LEAK UPON LANDING, A LOT OF WATER GUSHED TOWARDS THE CARPET.",REAR GALLEY ICE CLEANED AND WATER DRAINED,80471789.0,Behind carts,Ice on chiller flaps,2023-12-11 07:31:20.905000,0.7,7.2719815,-7.5894003
A6-BLT,AUH,2023-12-09 02:10:57.654,A6-BLT001605-003,Galley G4A-1L,WATER LEAKAGE FROM THE ICE DRAWER,CLEANED AND UNBLOCK C/OUT IAW AMM DMC-B787-A-38-31-25-00A-258A-A REV 017/31 OCT 2022 OPS CHECK FOUND SATIS.,80471789.0,Ice Drawer,Ice Drawer drain clogged,2023-12-09 05:16:47.060000,3.1,24.4409181,54.6377049
A6-BLK,AUH,2023-05-02 02:10:58.000,A6-BLT001605-014,Galley G2F-1C,R2 GALLEY WATER LEAKAGE (ON THE FLOOR),UNABLE TO FIND ANY WATER LEAKAGE SUSPECT WATER DUE TO CONDENSATION,80471789.0,Behind carts,Condensation,2023-12-20 05:16:47.060000,5571.1,24.4409181,54.6377049
