A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,Resolution Time,latitude,longitude
A6-BLC,LHR,2024-09-05 10:41:37.094,A6-BLC001987-004,Galley G2F-1C,WATER COMING FROM BELLOW THE FRIDGE DURING CRUISE.,"AREA CLEANED INCLUDING DRAINS, SUSPECT DUE PREVIOUS SPILLAGE.",80471789.0,Behind fridge,Nil Leak,Closed,,51.4677389,-0.4587801
A6-BLF,AUH,2024-09-03 07:47:28.130,A6-BLF002164-003,Galley G4A-1R,"WATER LEAKS ONTHE FLOOR AREA. SOURCE IS NOT FOUND,BUT ITS COMING FROM BEHIND THE CART STOWAGES",REMOVED ICE BLOCKS INSIDE GALLEY CHILLER AIR VENTS IAW CMM 25-30-111 REV 1 / 28 NOV 2019,80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BLN,KUL,2024-09-01 21:53:33.471,A6-BLN002169-002,Galley G2A-1C,WATER LEAKING FROM BEHIND THE CARTS. BOTH SIDES OF THE GALLEY. CARPET AT ROW 15 IS WET. GALLEY WATER IS SHUT OFF.,BLOCKAGE CLEARED AND GWDU OPS NORMAL. ICE BOX TRAY DRY..,80471789.0,Ice Drawer,Ice Drawer drain clogged,Closed,,2.7431004,101.7063146
A6-BLB,AUH,2024-08-20 00:55:38.332,A6-BLB001846-001,Galley G1F-1C,LOTS OF WATER COMING FROM THE ICE DRAWER DURING TAKEOFF AND LANDING.,ICE DRAWER DRAIN CLEARED. NOW SATIS.,80471789.0,Ice Drawer,Ice Drawer drain clogged,Closed,,24.4409181,54.6377049
A6-BLL,AUH,2024-08-11 22:29:58.112,A6-BLL002083-004,Galley G1F-1C,"DURING INITIAL CLIMB, WE HAD WATER FLOWING FROM THE GALLEY TOP, NEXT TO ICE DRAWER AND SINK DRAINAGE.","ON ARRIVAL WHOLE R1 GALLEY CHECKED FLUND NIL WATER LEAK.SUSPECTED WATER FROM CONDENSATION ,DUE TO GALLEY CHILLERS OPERATIONS.",80471789.0,Ice Drawer,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLI,DPS,2024-08-07 03:50:54.802,A6-BLI002093-002,Galley G2A-1C,WATER LEAKING FROM GALLEY TOWARDS CABIN.,GALLEY-GENERAL VISUAL INSPECTION C/OUT -RESULT NO LEAK FOUND IAW AMM DMC -B787-A-25-31-00-02A-311A-A,80471789.0,Behind carts,Nil Leak,Closed,,22.3160874,113.9364784
A6-BMH,MNL,2024-08-02 13:59:12.513,A6-BMH002191-002,Galley G4A-1R,WATER LEAK AT TOP OF DESCENT. COMING FROM R4 CART STOWAGE.,CLEANED AND REMOVED WATER ACCUMULATION. NIL LEAK FOUND.,80471789.0,Behind carts,Nil Leak,Closed,,14.5123016,121.0218861
A6-BLT,AUH,2024-07-29 18:32:57.507,A6-BLT002021-004,Galley G4A-1R,"WATER GUSHED OUT FROM UNDER THE CARTS IN R4 GALLEY DURING LANDING.
",R4 GALLEY INSPECTED FOR ANY WATER LEAKS AND NIL LEAKS NOTED. SUSPECT WATER FROM THE FOOD CART.,80471789.0,Behind carts,Condensation,Closed,,24.4409181,54.6377049
A6-BLH,AUH,2024-07-29 07:39:46.450,A6-BLH002138-001,Galley G1F-1C,"WATER LEAKAGE GALLEY TOP AREA.
SOURCE UNIDENTIFIED.
","GALLEY 1 AREA CLEANED INSPECTION PERFORMED NIL LEAK FOUND , SUSPECTED RH VACUUM BLOWER INOP REF TO WO 80338758",80471789.0,Ice Drawer,Nil Leak,Closed,,24.4409181,54.6377049
A6-BMB,KHI,2024-07-25 21:31:43.139,A6-BMB002231-001,Galley G1A-1C,WATER COMING FROM G1A-1C  CARTS STORAGE AREA DURING LANDING.,AREA CLEANED AND INSPECTION C/O. NIL EVIDENCE OF ANY WATER LEAKAGE. SUSPECTED CONDENSATION.,80471789.0,Behind carts,Condensation,Closed,,24.54383,118.1326515
